EXEC_FULLNAME;CO_PER_ROL;CONAME;TITLEANN;SALARY;BONUS;STOCK_AWARDS;OPTION_AWARDS;AGE;GVKEY;YEAR;BECAMECEO;PCEO;TITLE;GENDER;SICDESC;TICKER;SIC
Thomas James Houk;64811;TRUPANION INC;Chief Data Officer;205.454;0;597.582;0;31;20935;2019;;;Chief Data Officer;MALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Asher Benjamin Bearman;64812;TRUPANION INC;Chief Strategy Officer & Corporate Secretary;240;0;995.711;0;41;20935;2019;;;Executive Vice President of Business Development;MALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Gavin Derek Friedman;64815;TRUPANION INC;Chief People Officer & General Counsel;193.333;0;339.031;0;51;20935;2019;;;Executive VP of Legal & People Operations, Chief People Officer and General Counsel;MALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Margaret Tooth;64816;TRUPANION INC;Chief Revenue Officer;240;0;1137.939;0;40;20935;2019;;;President;FEMALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Darryl Graham Andrew Rawlings;64819;TRUPANION INC;Founder, President, CEO & Director;300;0;720.714;0;50;20935;2019;01/01/2001;CEO;Founder, CEO & Director;MALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Tricia Lynn Plouf;64810;TRUPANION INC;CFO & Co-President;300;0;851.155;0;41;20935;2020;;;Chief Operating Officer;FEMALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Asher Benjamin Bearman;64812;TRUPANION INC;Executive Vice President of Business Development;300;0;878.322;0;42;20935;2020;;;Executive Vice President of Business Development;MALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Gavin Derek Friedman;64815;TRUPANION INC;Executive VP of Legal & People Operations, Chief People Officer and General Counsel;300;0;1076.579;0;52;20935;2020;;;Executive VP of Legal & People Operations, Chief People Officer and General Counsel;MALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Margaret Tooth;64816;TRUPANION INC;Co-President;300;0;851.155;0;41;20935;2020;;;President;FEMALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Darryl Graham Andrew Rawlings;64819;TRUPANION INC;Founder CEO & Director;300;0;822.367;0;51;20935;2020;01/01/2001;CEO;Founder, CEO & Director;MALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Tricia Lynn Plouf;64810;TRUPANION INC;Chief Operating Officer;300;0;4887.46;0;42;20935;2021;;;Chief Operating Officer;FEMALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Asher Benjamin Bearman;64812;TRUPANION INC;Executive Vice President of Business Development;300;0;3385.12;0;43;20935;2021;;;Executive Vice President of Business Development;MALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Gavin Derek Friedman;64815;TRUPANION INC;Executive VP of Legal & People Operations, Chief People Officer and General Counsel;300;0;3385.12;0;53;20935;2021;;;Executive VP of Legal & People Operations, Chief People Officer and General Counsel;MALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Margaret Tooth;64816;TRUPANION INC;President;300;0;4941.857;0;42;20935;2021;;;President;FEMALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Darryl Graham Andrew Rawlings;64819;TRUPANION INC;Founder, CEO & Director;300;0;4623.067;0;52;20935;2021;01/01/2001;CEO;Founder, CEO & Director;MALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Andrew Donald Wolff, M.B.A.;67936;TRUPANION INC;Chief Financial Officer;181.818;0;1578.224;0;50;20935;2021;;;Chief Financial Officer;MALE;HOSPITAL AND MEDICAL SERVICE PLANS;TRUP;6324
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;;129.598;0.2;-1;-1;;21238;1992;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Beede;7854;VICOR CORP;;122.377;0.2;-1;-1;;21238;1992;;;sr. v-p-marketing;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;;121.085;0.2;-1;-1;;21238;1992;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;;107.837;0.2;-1;-1;;21238;1992;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;;129.598;0;-1;-1;;21238;1993;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Beede;7854;VICOR CORP;;128.933;0;-1;-1;;21238;1993;;;sr. v-p-marketing;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;;126.882;0;-1;-1;;21238;1993;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;;9.529;0;-1;-1;;21238;1993;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;;112.301;0;-1;-1;;21238;1993;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;pres. & CEO;147.692;0;-1;-1;48;21238;1994;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Beede;7854;VICOR CORP;sr. v-p-marketing;133.901;17.51;-1;-1;46;21238;1994;;;sr. v-p-marketing;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;sr. v-p-technology;133.44;0;-1;-1;48;21238;1994;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;sr. v-p-international ops.;125;13.426;-1;-1;46;21238;1994;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;v-p-North American sales;118.718;16.092;-1;-1;49;21238;1994;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;pres. & CEO;158.609;0;-1;-1;49;21238;1995;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Beede;7854;VICOR CORP;sr. v-p-marketing;141.356;24.256;-1;-1;47;21238;1995;;;sr. v-p-marketing;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;sr. v-p-technology;141.356;0;-1;-1;49;21238;1995;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;sr. v-p-international ops.;127.795;20.322;-1;-1;47;21238;1995;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;v-p-N. & S. American sales;128.314;24.302;-1;-1;50;21238;1995;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;pres. & CEO;170.615;0;-1;-1;50;21238;1996;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Beede;7854;VICOR CORP;sr. v-p-marketing;151.846;14.207;-1;-1;48;21238;1996;;;sr. v-p-marketing;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;sr. v-p-technology;151.846;0;-1;-1;50;21238;1996;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;sr. v-p-international ops.;137.077;13.5;-1;-1;48;21238;1996;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;v-p-N. & S. American sales;137.077;16.301;-1;-1;51;21238;1996;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;pres. & CEO;190.615;0;-1;-1;51;21238;1997;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Beede;7854;VICOR CORP;sr. v-p-marketing;163.857;21.884;-1;-1;49;21238;1997;;;sr. v-p-marketing;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;sr. v-p-technology;168.115;0;-1;-1;51;21238;1997;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;sr. v-p-international ops.;145.914;13.667;-1;-1;49;21238;1997;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;v-p-N. & S. American sales;147.712;17.967;-1;-1;52;21238;1997;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;;142.386;0;-1;-1;;21238;1997;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;pres. & CEO;198.846;0;-1;-1;52;21238;1998;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Beede;7854;VICOR CORP;sr. v-p-marketing;199.278;23.232;-1;-1;;21238;1998;;;sr. v-p-marketing;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;sr. v-p-technology;173.154;0;-1;-1;52;21238;1998;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;sr. v-p-global ops.;154.23;14.54;-1;-1;50;21238;1998;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;sr. v-p-N. & S. American sales;154.23;21.744;-1;-1;53;21238;1998;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;;149.126;0;-1;-1;;21238;1998;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;pres. & CEO;213.846;0;-1;-1;53;21238;1999;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;sr. v-p-technology;184.154;0;-1;-1;53;21238;1999;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;sr. v-p-global ops.;173.462;5.151;-1;-1;51;21238;1999;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;sr. v-p-N. & S. American sales;164.231;15.868;-1;-1;54;21238;1999;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;"v-p; pres.-Westcor Division";157.123;0;-1;-1;52;21238;1999;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Mark A. Glazer;24464;VICOR CORP;;149.308;0;-1;-1;;21238;1999;;;chief finance officer, treasurer & secretary;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;president & CEO;228.846;0;-1;-1;54;21238;2000;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;senior vp - technology;194.231;0;-1;-1;54;21238;2000;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;senior vp - global operations;186.077;44.114;-1;-1;52;21238;2000;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;senior vp - North and South America sales;175.154;58.666;-1;-1;55;21238;2000;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;vp - Vicor Corporation, president - Westcor Division & president - VLT, Inc;164.523;0;-1;-1;53;21238;2000;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Mark A. Glazer;24464;VICOR CORP;;159.231;0;-1;-1;;21238;2000;;;chief finance officer, treasurer & secretary;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;president & CEO;238.193;0;-1;-1;55;21238;2001;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;senior vp - technology;201.3;0;-1;-1;55;21238;2001;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;senior vp - global operations;194.685;18.614;-1;-1;53;21238;2001;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;senior vp - North and South America sales;182.738;40.257;-1;-1;56;21238;2001;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;;158.231;0;-1;-1;;21238;2001;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Mark A. Glazer;24464;VICOR CORP;chief finance officer;166.208;0;-1;-1;49;21238;2001;;;chief finance officer, treasurer & secretary;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;president & CEO;239.346;0;-1;-1;56;21238;2002;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;senior vp - technology;202.223;0;-1;-1;56;21238;2002;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;senior vp - global operations;195.385;0;-1;-1;54;21238;2002;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;senior vp - North and South America sales;184.33;669;-1;-1;57;21238;2002;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;vp, president-Westcor division & president VLT, Inc.;176;0;-1;-1;55;21238;2002;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Mark A. Glazer;24464;VICOR CORP;;167.054;0;-1;-1;;21238;2002;;;chief finance officer, treasurer & secretary;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;president & CEO;245;0;-1;-1;57;21238;2003;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Jay M. Prager;7855;VICOR CORP;senior vp-technology;183.46;0;-1;-1;57;21238;2003;;;senior vp-technology;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;senior vp-global operations;200;11.461;-1;-1;55;21238;2003;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;senior vp-North and South American sales;188;11.973;-1;-1;58;21238;2003;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;"vp; president-Westcor division & president-VLT, Inc.";176;0;-1;-1;56;21238;2003;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Mark A. Glazer;24464;VICOR CORP;;171;0;-1;-1;;21238;2003;;;chief finance officer, treasurer & secretary;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Zengilowski;31208;VICOR CORP;;150;0;-1;-1;;21238;2003;;;Vice President of Human Resources;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;president & CEO;257.062;0;-1;-1;58;21238;2004;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;senior vp-global operations;209.846;21.597;-1;-1;56;21238;2004;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
David W. Nesbitt;7857;VICOR CORP;senior vp-North and South American sales;193.785;16.086;-1;-1;59;21238;2004;;;senior vp-North and South American sales;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;"vp; president-Westcor division & president-VLT, Inc.";179.435;0;-1;-1;57;21238;2004;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Mark A. Glazer;24464;VICOR CORP;chief finance officer, treasurer & secretary;179.418;0;-1;-1;52;21238;2004;;;chief finance officer, treasurer & secretary;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Zengilowski;31208;VICOR CORP;;157.385;0;-1;-1;;21238;2004;;;Vice President of Human Resources;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;president & CEO;275.285;0;-1;-1;59;21238;2005;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;senior vp-global operations & general manager-brick business unit;228.461;26.551;-1;-1;57;21238;2005;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;"vp; president-Westcor division & president-VLT, Inc.";191.224;0;-1;-1;58;21238;2005;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Mark A. Glazer;24464;VICOR CORP;chief finance officer, treasurer & secretary;189.474;0;-1;-1;53;21238;2005;;;chief finance officer, treasurer & secretary;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Zengilowski;31208;VICOR CORP;vp-human resources;168.542;0;-1;-1;51;21238;2005;;;Vice President of Human Resources;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;chairman, president & CEO;293.508;0;0;1.751;60;21238;2006;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;senior vp-global operations & president-BBU;251.385;3.278;0;159.348;58;21238;2006;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;"vp; president-Westcor & president & CEO-VLT Inc";191.224;0;0;6.511;59;21238;2006;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Mark A. Glazer;24464;VICOR CORP;chief finance officer, treasurer & secretary;198.535;0;0;2.143;54;21238;2006;;;chief finance officer, treasurer & secretary;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Zengilowski;31208;VICOR CORP;vp-human resources;183.592;0;0;7.134;52;21238;2006;;;Vice President of Human Resources;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard J. Nagel, Jr.;35193;VICOR CORP;;148.67;0;0;1.737;;21238;2006;;;Chief Accounting Officer & Corporate VP;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Claudio Tuozzolo;35194;VICOR CORP;;193.038;0;0;6.616;;21238;2006;;;Corporate VP & Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;chairman, president & CEO;312.923;0;0;400;60;21238;2007;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;president-BBU;271.2;25;0;16.804;58;21238;2007;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;;206;15;0;0;59;21238;2007;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Mark A. Glazer;24464;VICOR CORP;chief finance officer, treasurer & secretary;210.838;25;0;0.73;54;21238;2007;;;chief finance officer, treasurer & secretary;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Zengilowski;31208;VICOR CORP;vp-human resources;198.185;25;0;0;52;21238;2007;;;Vice President of Human Resources;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard J. Nagel, Jr.;35193;VICOR CORP;vp & chief accounting officer;161.499;10;0;1.737;50;21238;2007;;;Chief Accounting Officer & Corporate VP;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Claudio Tuozzolo;35194;VICOR CORP;president-Picor Corp.;208.615;0;0;16.804;44;21238;2007;;;Corporate VP & Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;chairman, president & CEO;332.852;0;0;0;61;21238;2008;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;president-BBU;288.472;0;0;32.582;59;21238;2008;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
H. Allen Henderson;19530;VICOR CORP;president-Westcor;214.145;0;0;5.223;60;21238;2008;;;president-Westcor;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Zengilowski;31208;VICOR CORP;;211.063;0;0;20;53;21238;2008;;;Vice President of Human Resources;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard J. Nagel, Jr.;35193;VICOR CORP;vp & chief accounting officer;188.073;0;0;4.344;51;21238;2008;;;Chief Accounting Officer & Corporate VP;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Claudio Tuozzolo;35194;VICOR CORP;president-Picor Corp.;223.218;0;0;86.332;45;21238;2008;;;Corporate VP & Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
James A. Simms;37937;VICOR CORP;vp & chief finance officer;180;0;0;208.541;48;21238;2008;;;CFO, Corporate VP, Treasurer, Corporate Secretary & Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;Founder, Chairman of the Board, Chief Executive Officer and President;353.347;0;0;0;62;21238;2009;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;Director and President of Vicor Brick Business Unit;315.875;0;0;17.022;60;21238;2009;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Zengilowski;31208;VICOR CORP;Vice President of Human Resources;230.832;25;0;0;54;21238;2009;;;Vice President of Human Resources;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Claudio Tuozzolo;35194;VICOR CORP;Director and President of Picor Corporation;255.577;0;0;17.022;46;21238;2009;;;Corporate VP & Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
James A. Simms;37937;VICOR CORP;Chief Financial Officer, Secretary, Vice President and Director;276.8;50;0;17.022;49;21238;2009;;;CFO, Corporate VP, Treasurer, Corporate Secretary & Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;Founder, Chairman of the Board, Chief Executive Officer and President;351.384;0;0;744.45;63;21238;2010;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;Director and President of Vicor Brick Business Unit;319.882;0;0;137.402;61;21238;2010;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Richard E. Zengilowski;31208;VICOR CORP;Vice President of Human Resources;232.191;0;0;0;55;21238;2010;;;Vice President of Human Resources;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Claudio Tuozzolo;35194;VICOR CORP;Director and President of Picor Corporation;254.018;0;0;414.223;47;21238;2010;;;Corporate VP & Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
James A. Simms;37937;VICOR CORP;Chief Financial Officer, Principal Accounting Officer, Vice President, Secretary and Director;277.472;0;0;124.6;50;21238;2010;;;CFO, Corporate VP, Treasurer, Corporate Secretary & Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;Founder, Chairman, Chief Executive Officer and President;368.953;0;0;0;64;21238;2011;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;Director and President of Vicor Brick Business Unit;335.625;50;0;16.754;62;21238;2011;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Claudio Tuozzolo;35194;VICOR CORP;Director and President of Picor Corporation;270.2;0;0;16.754;48;21238;2011;;;Corporate VP & Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
James A. Simms;37937;VICOR CORP;Chief Financial Officer, Principal Accounting Officer, Vice President, Secretary and Director;288.571;0;0;16.754;51;21238;2011;;;CFO, Corporate VP, Treasurer, Corporate Secretary & Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Philip D. Davies;45490;VICOR CORP;Vice President of Global Sales & Marketing;223.462;0;0;606.276;51;21238;2011;;;Corporate VP of Global Sales & Marketing and Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Patrizio Vinciarelli, Ph.D.;7853;VICOR CORP;Founder, Chairman, Chief Executive Officer and President;384.948;0;0;0;65;21238;2012;01/01/1981;CEO;Founder, Chairman, CEO & President;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Barry Kelleher;7856;VICOR CORP;Director and President of Vicor Brick Business Unit;350.175;0;0;13.738;63;21238;2012;;;Corporate Vice President, Director and President of Vicor Brick Business Unit;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
Claudio Tuozzolo;35194;VICOR CORP;Director and President of Picor Corporation;286.412;0;0;13.738;49;21238;2012;;;Corporate VP & Director;MALE;ELECTRONIC COMPONENTS, NEC;VICR;3679
